,BlueCars_taken_sum,BlueCars_returned_sum,Utilib_taken_sum,Utilib_returned_sum,Utilib_14_taken_sum,Utilib_14_returned_sum,Slots_freed_sum,Slots_taken_sum
0,110,103,3,2,10,9,22,20
1,98,94,1,1,8,8,23,22
2,138,139,0,0,2,2,27,27
3,104,104,2,2,9,8,25,21
4,114,117,3,3,6,6,18,20
5,187,185,6,6,7,8,38,35
6,180,180,2,2,10,9,34,34
7,84,83,3,3,10,10,14,15
8,81,84,1,1,4,4,15,15
9,88,85,5,5,11,11,23,22
10,125,125,3,4,13,13,22,22
11,126,127,3,2,12,12,11,13
12,224,223,2,2,15,15,38,38
13,193,193,2,2,12,12,22,20
14,107,107,4,4,9,9,15,15
15,116,116,1,1,8,8,19,20
16,118,118,2,2,7,7,16,15
17,122,122,7,7,8,8,21,21
18,130,130,3,3,7,7,17,19
19,217,217,2,2,25,25,41,39
20,143,150,4,4,8,8,23,25
21,123,116,2,2,5,5,14,14
22,112,113,3,3,10,10,11,9
23,108,107,7,7,14,14,24,25
24,130,130,0,0,4,4,20,20
25,145,146,0,0,7,7,35,37
26,216,218,1,1,12,12,36,36
27,190,189,5,5,10,10,32,30
28,83,81,2,2,3,3,17,16
29,103,103,2,2,3,3,11,11
30,108,110,2,2,4,4,13,14
31,112,110,4,4,15,15,21,20
32,146,147,3,3,6,6,28,28
33,199,204,4,4,15,15,34,37
34,186,180,2,2,17,17,36,33
35,121,121,2,2,7,7,17,18
36,118,118,4,4,3,3,12,11
37,98,99,8,8,10,10,19,19
38,113,112,5,5,9,9,15,15
39,109,109,5,5,4,4,14,15
40,207,207,5,5,12,12,28,27
41,160,165,7,7,16,16,32,33
42,115,111,1,1,7,7,18,19
43,94,93,6,6,9,10,21,19
44,99,99,2,2,5,4,19,20
45,119,119,3,3,6,6,18,18
46,130,130,0,0,11,12,27,28
47,176,176,4,4,9,8,36,36
48,157,158,1,1,11,11,26,25
49,85,86,1,1,9,9,12,12
50,100,98,3,3,9,9,11,11
51,116,116,1,1,10,10,23,22
52,121,122,4,4,11,11,21,21
53,135,135,3,3,8,8,17,18
54,8,9,0,0,0,0,0,0
55,92,91,0,1,5,5,18,18
56,127,131,6,5,8,8,32,31
57,136,137,9,9,4,6,20,23
58,192,193,1,1,9,7,27,26
59,168,165,4,4,16,16,28,28
60,102,103,1,1,12,12,21,19
61,122,121,2,2,6,6,23,23
62,118,118,2,2,10,10,21,21
63,113,113,3,3,8,8,17,19
64,135,138,4,4,13,13,20,18
