,Cars,Bluecar_counter,Utilib_counter,Utilib_1.4_counter,City,ID,Kind,Geo_point,Postal_code,Public_name,Rental_status,Slots,Station_type,Subscription_status,year,month,day,hour,minute
0,0,0,0,0,Paris,paris-suffren-2,STATION,"48.857, 2.2917",75015,Paris/Suffren/2,operational,2,station,nonexistent,2018,4,8,11,43
1,6,6,0,0,Paris,paris-raymondlosserand-145,STATION,"48.83126, 2.313088",75014,Paris/Raymond Losserand/145,operational,0,station,nonexistent,2018,4,6,7,24
2,3,3,0,2,Le Bourget,lebourget-johnfitzgeraldkennedy-2,STATION,"48.938103, 2.4286035",93350,Le Bourget/John Fitzgerald Kennedy/2,operational,1,station,nonexistent,2018,4,3,20,14
3,3,3,1,0,Paris,paris-eugeneoudine-51,STATION,"48.8250327, 2.3725162",75013,Paris/EugÃ¨ne OudinÃ©/51,operational,2,station,nonexistent,2018,4,4,4,37
4,3,3,0,0,Paris,paris-portedechamperret-6,PARKING,"48.8862632, 2.2874511",75017,Paris/Porte de Champerret/6,operational,3,station,nonexistent,2018,4,8,17,23
5,0,0,0,0,Paris,paris-voltaire-8,STATION,"48.8657658, 2.3664376",75011,Paris/Voltaire/8,operational,4,station,nonexistent,2018,4,6,7,2
6,0,0,0,0,Paris,paris-citroencevennes-parking,PARKING,"48.83874, 2.27641",75015,Paris/CitroÃ«n CÃ©vennes/Parking,broken,0,station,nonexistent,2018,4,8,18,20
7,3,3,1,0,Nanterre,nanterre-luaps-17,STATION,"48.88069, 2.21063",92000,Nanterre/Luaps/17,operational,0,station,nonexistent,2018,4,4,22,13
8,1,1,0,0,Paris,paris-jeanmoulin-34,STATION,"48.8266807, 2.3237355",75014,Paris/Jean Moulin/34,operational,4,station,nonexistent,2018,4,2,22,58
9,6,6,0,0,Paris,paris-anvers-parking,PARKING,"48.88267, 2.34405",75009,Paris/Anvers/Parking,operational,0,station,nonexistent,2018,4,4,15,2
10,0,0,0,0,Paris,paris-censier-14,STATION,"48.8411067, 2.3544235",75005,Paris/Censier/14,operational,6,station,nonexistent,2018,4,1,4,39
11,1,1,0,0,Puteaux,puteaux-francisdepressense-12,STATION,"48.8761876, 2.2361346",92800,Puteaux/Francis de PressensÃ©/12,operational,4,station,nonexistent,2018,4,6,9,20
12,5,5,1,0,Paris,paris-portedechamperret-6,PARKING,"48.8862632, 2.2874511",75017,Paris/Porte de Champerret/6,operational,0,station,nonexistent,2018,4,5,12,22
13,0,0,0,0,Paris,paris-jeanmoulin-34,STATION,"48.8266807, 2.3237355",75014,Paris/Jean Moulin/34,operational,0,station,nonexistent,2018,4,8,21,54
14,0,0,0,0,Paris,paris-richardlenoir-8,STATION,"48.8545026, 2.370183",75011,Paris/Richard Lenoir/8,operational,4,station,nonexistent,2018,4,6,8,0
